step,best_policy,best_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_ipc,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_ipc,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_ipc,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_ipc,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_ipc,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_ipc,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay_loss_pct,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_ipc,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV_loss_pct
20,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.305049,0.301451,0.00359799999999999,1.179482640493819,0.301451,0.00359799999999999,1.179482640493819,0.301115,0.003933999999999993,1.2896288792947994,0.301115,0.003933999999999993,1.2896288792947994,0.304698,0.0003509999999999902,0.11506348160459147,0.304698,0.0003509999999999902,0.11506348160459147,0.305049,0.0,0.0,0.305049,0.0,0.0
21,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.219217,0.219217,0.0,0.0,0.219217,0.0,0.0,0.218867,0.0003499999999999892,0.1596591505220805,0.218631,0.0005860000000000032,0.2673150348741216,0.219142,7.499999999999174e-05,0.034212675111871683,0.219142,7.499999999999174e-05,0.034212675111871683,0.219093,0.00012399999999998523,0.05656495618496068,0.219093,0.00012399999999998523,0.05656495618496068
22,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.247442,0.246697,0.0007449999999999957,0.3010806572853419,0.246697,0.0007449999999999957,0.3010806572853419,0.247442,0.0,0.0,0.247442,0.0,0.0,0.245285,0.0021569999999999923,0.8717194332409179,0.245285,0.0021569999999999923,0.8717194332409179,0.244128,0.0033139999999999836,1.33930375603171,0.244128,0.0033139999999999836,1.33930375603171
23,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.199114,0.197817,0.0012970000000000204,0.6513856383780248,0.197817,0.0012970000000000204,0.6513856383780248,0.196692,0.0024220000000000075,1.2163886015046694,0.196702,0.0024120000000000252,1.2113663529435525,0.199114,0.0,0.0,0.199114,0.0,0.0,0.197694,0.0014200000000000046,0.713159295679864,0.197695,0.0014190000000000036,0.712657070823751
24,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.275623,0.274296,0.0013270000000000226,0.48145474071468003,0.274296,0.0013270000000000226,0.48145474071468003,0.274988,0.0006349999999999967,0.2303871592719028,0.274988,0.0006349999999999967,0.2303871592719028,0.274996,0.0006269999999999887,0.22748464387949796,0.274996,0.0006269999999999887,0.22748464387949796,0.275623,0.0,0.0,0.275623,0.0,0.0
25,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.338842,0.338747,9.499999999995623e-05,0.028036666056733297,0.338747,9.499999999995623e-05,0.028036666056733297,0.33883,1.199999999995649e-05,0.0035414736071551016,0.33883,1.199999999995649e-05,0.0035414736071551016,0.338632,0.00020999999999998797,0.06197578812543545,0.338632,0.00020999999999998797,0.06197578812543545,0.338842,0.0,0.0,0.338842,0.0,0.0
26,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.21047,0.208738,0.0017319999999999836,0.8229201311350709,0.208541,0.0019289999999999863,0.9165201691452398,0.207407,0.0030629999999999824,1.4553142965743253,0.207103,0.003366999999999981,1.5997529339098122,0.21047,0.0,0.0,0.21047,0.0,0.0,0.209183,0.0012869999999999826,0.611488573193321,0.209119,0.001350999999999991,0.6418967073692171
27,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.206027,0.205163,0.0008639999999999759,0.41936251073887204,0.205161,0.0008659999999999779,0.42033325729150933,0.205259,0.0007679999999999909,0.3727666762123367,0.205262,0.0007649999999999879,0.37131055638338084,0.206027,0.0,0.0,0.205828,0.00019899999999997697,0.09658928198730117,0.204127,0.001899999999999985,0.9222092250044824,0.204118,0.001908999999999994,0.9265775844913502
28,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.193429,0.19218,0.0012490000000000001,0.6457149651810226,0.19218,0.0012490000000000001,0.6457149651810226,0.191725,0.0017039999999999833,0.880943395250962,0.191725,0.0017039999999999833,0.880943395250962,0.193429,0.0,0.0,0.193429,0.0,0.0,0.192926,0.0005030000000000034,0.260043736978428,0.192926,0.0005030000000000034,0.260043736978428
29,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.205011,0.204201,0.0008100000000000052,0.39510075069142886,0.204201,0.0008100000000000052,0.39510075069142886,0.204149,0.0008620000000000017,0.42046524332840757,0.204153,0.0008579999999999977,0.41851412851017633,0.205011,0.0,0.0,0.204973,3.800000000001025e-05,0.018535590773183026,0.204707,0.0003039999999999987,0.14828472618542357,0.204707,0.0003039999999999987,0.14828472618542357
30,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.258604,0.258562,4.199999999998649e-05,0.016241048088964784,0.258562,4.199999999998649e-05,0.016241048088964784,0.257994,0.0006099999999999994,0.23588188891123085,0.257382,0.0012220000000000009,0.4725371610647944,0.258604,0.0,0.0,0.258604,0.0,0.0,0.257884,0.0007199999999999984,0.27841796723948525,0.258088,0.0005160000000000164,0.19953287652163787
31,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.195542,0.195249,0.0002929999999999877,0.14983993208619514,0.195249,0.0002929999999999877,0.14983993208619514,0.19314,0.0024019999999999875,1.2283806036554743,0.193126,0.0024160000000000015,1.2355401908541395,0.195542,0.0,0.0,0.195542,0.0,0.0,0.195373,0.00016900000000000248,0.08642644546951676,0.195373,0.00016900000000000248,0.08642644546951676
32,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.159478,0.159228,0.0002500000000000002,0.15676143417900915,0.159228,0.0002500000000000002,0.15676143417900915,0.158379,0.0010990000000000166,0.6891232646509341,0.159478,0.0,0.0,0.15211,0.007368000000000013,4.620072988123762,0.152038,0.007440000000000002,4.66522028116731,0.151105,0.00837300000000002,5.250253953523382,0.151188,0.00829000000000002,5.198209157375952
33,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.227902,0.227278,0.0006239999999999857,0.2738018973067308,0.227263,0.0006390000000000007,0.2803836736843032,0.227902,0.0,0.0,0.227902,0.0,0.0,0.206025,0.02187699999999998,9.599301454133785,0.206025,0.02187699999999998,9.599301454133785,0.206025,0.02187699999999998,9.599301454133785,0.206025,0.02187699999999998,9.599301454133785
34,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.179052,0.178751,0.0003009999999999957,0.168107588856866,0.179052,0.0,0.0,0.177792,0.0012599999999999834,0.703706185912463,0.178135,0.0009170000000000011,0.5121417241918556,0.168472,0.010579999999999978,5.90889797377297,0.168443,0.01060899999999998,5.925094385988417,0.168472,0.010579999999999978,5.90889797377297,0.168443,0.01060899999999998,5.925094385988417
35,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.210624,0.210624,0.0,0.0,0.210624,0.0,0.0,0.210624,0.0,0.0,0.210624,0.0,0.0,0.210533,9.100000000000774e-05,0.04320495290185722,0.210533,9.100000000000774e-05,0.04320495290185722,0.210232,0.00039200000000000346,0.18611364326952456,0.210232,0.00039200000000000346,0.18611364326952456
36,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.448565,0.446467,0.0020979999999999888,0.46771370927290107,0.446467,0.0020979999999999888,0.46771370927290107,0.448099,0.00046599999999996644,0.1038868391425917,0.448099,0.00046599999999996644,0.1038868391425917,0.448565,0.0,0.0,0.448565,0.0,0.0,0.448099,0.00046599999999996644,0.1038868391425917,0.448099,0.00046599999999996644,0.1038868391425917
37,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.947338,0.947338,0.0,0.0,0.947338,0.0,0.0,0.947338,0.0,0.0,0.947338,0.0,0.0,0.944889,0.0024490000000000345,0.2585138567227362,0.944889,0.0024490000000000345,0.2585138567227362,0.944889,0.0024490000000000345,0.2585138567227362,0.944889,0.0024490000000000345,0.2585138567227362
38,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.525522,0.525446,7.6000000000076e-05,0.014461811303822866,0.525446,7.6000000000076e-05,0.014461811303822866,0.525522,0.0,0.0,0.525522,0.0,0.0,0.52477,0.0007520000000000859,0.1430958171113837,0.52477,0.0007520000000000859,0.1430958171113837,0.525032,0.0004899999999999904,0.09324062551139446,0.525032,0.0004899999999999904,0.09324062551139446
39,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.322337,0.320573,0.0017639999999999878,0.5472533404480366,0.320567,0.0017699999999999938,0.5491147463679298,0.320286,0.0020509999999999695,0.6362905902828312,0.320286,0.0020509999999999695,0.6362905902828312,0.322337,0.0,0.0,0.322324,1.2999999999985246e-05,0.004033046159759893,0.3215,0.0008369999999999767,0.2596661258248283,0.321501,0.0008360000000000034,0.2593558915048547
40,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.249047,0.246312,0.0027349999999999874,1.0981862861226948,0.246312,0.0027349999999999874,1.0981862861226948,0.246046,0.0030010000000000037,1.204993434974123,0.2459,0.003146999999999983,1.2636169076519628,0.249047,0.0,0.0,0.249047,0.0,0.0,0.247875,0.0011719999999999786,0.4705939039618942,0.24799,0.0010570000000000024,0.424417880962229
41,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.325944,0.323356,0.0025880000000000347,0.7940014235574315,0.323356,0.0025880000000000347,0.7940014235574315,0.324132,0.0018120000000000358,0.5559237169575251,0.324132,0.0018120000000000358,0.5559237169575251,0.325781,0.00016300000000002424,0.0500085904327198,0.325785,0.00015900000000002024,0.04878138575952318,0.325933,1.1000000000038757e-05,0.003374812851299228,0.325944,0.0,0.0
42,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.258684,0.258042,0.0006420000000000314,0.24817924572065972,0.258042,0.0006420000000000314,0.24817924572065972,0.257899,0.0007850000000000357,0.3034590465587495,0.257899,0.0007850000000000357,0.3034590465587495,0.258508,0.00017600000000000948,0.06803667795457372,0.258508,0.00017600000000000948,0.06803667795457372,0.258684,0.0,0.0,0.258684,0.0,0.0
43,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.279522,0.276898,0.002624000000000015,0.9387454296978468,0.276898,0.002624000000000015,0.9387454296978468,0.276987,0.0025350000000000095,0.9069053598643432,0.276987,0.0025350000000000095,0.9069053598643432,0.279352,0.00017000000000000348,0.06081811091792541,0.279352,0.00017000000000000348,0.06081811091792541,0.279522,0.0,0.0,0.279522,0.0,0.0
44,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.334692,0.330615,0.004076999999999997,1.2181348822200702,0.330615,0.004076999999999997,1.2181348822200702,0.329351,0.005340999999999985,1.5957955373895956,0.329351,0.005340999999999985,1.5957955373895956,0.334692,0.0,0.0,0.334692,0.0,0.0,0.334006,0.0006859999999999644,0.20496456443535085,0.334006,0.0006859999999999644,0.20496456443535085
45,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.215819,0.214717,0.0011020000000000196,0.5106130600178944,0.214665,0.0011540000000000161,0.5347073241929654,0.213582,0.0022370000000000168,1.0365167107622668,0.213781,0.002038000000000012,0.9443098151691982,0.215819,0.0,0.0,0.215616,0.00020300000000000873,0.09406030052961449,0.214798,0.0010210000000000219,0.47308161005287847,0.21444,0.001379000000000019,0.6389613518735695
46,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.189128,0.188024,0.0011039999999999939,0.583731652637364,0.188065,0.0010629999999999806,0.5620532126390491,0.185305,0.003822999999999993,2.0213823442324736,0.185149,0.0039789999999999826,2.1038661647138355,0.189128,0.0,0.0,0.189119,8.999999999981245e-06,0.004758681950838187,0.187479,0.0016489999999999838,0.8718962818831605,0.187706,0.0014219999999999788,0.7518717482339892
47,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.200809,0.200021,0.0007879999999999832,0.3924126906662466,0.200021,0.0007879999999999832,0.3924126906662466,0.196234,0.004574999999999996,2.2782843398453236,0.196234,0.004574999999999996,2.2782843398453236,0.200809,0.0,0.0,0.200809,0.0,0.0,0.198363,0.002445999999999976,1.2180728951391502,0.198363,0.002445999999999976,1.2180728951391502
48,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.332604,0.328983,0.0036209999999999853,1.08868203629541,0.328983,0.0036209999999999853,1.08868203629541,0.32884,0.0037639999999999896,1.1316761073228192,0.32884,0.0037639999999999896,1.1316761073228192,0.332395,0.00020900000000001473,0.06283748842467761,0.332395,0.00020900000000001473,0.06283748842467761,0.332604,0.0,0.0,0.332604,0.0,0.0
