application,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV
605.mcf_s-1152B,0.1460694431186499,0.14610482893408622,0.1460694422085541,0.1461048330766789,0.1455068638671754,0.14555994898951188,0.14550686755550146,0.14555995488540893
607.cactuBSSN_s-2421B,1.0393276296089717,1.0404612729280542,1.0435404630000569,1.0436217034877542,1.0389420961010978,1.038284761115215,1.0411131357853243,1.0412577355597126
619.lbm_s-2676B,0.8827407600848484,0.8831485691642759,0.8827407600848484,0.8831485691642759,1.0033086148014265,1.0044072680213718,1.0033086148014265,1.0044072680213718
620.omnetpp_s-141B,0.13588969750265786,0.13589170294022726,0.13587824884548863,0.1358845299664543,0.13590717711408448,0.13591166520064835,0.13586575362424885,0.13587106927818607
621.wrf_s-575B,1.2155214655316788,1.2155214655316788,1.215506978204425,1.215506978204425,1.2148908905803384,1.2148908905803384,1.2148729599160684,1.2148729599160684
623.xalancbmk_s-10B,0.17133852683428114,0.17133107489319138,0.17116491183066024,0.1711668585265032,0.17254896891956217,0.17253184464682522,0.1723453959436632,0.17233308264825653
625.x264_s-12B,2.0390460289228804,2.0390460289228804,2.039627318635191,2.039627318635191,1.9821379126087602,1.9821379126087602,1.9819269761636007,1.9819269761636007
627.cam4_s-490B,1.3722673239639602,1.3724538986101862,1.3722673239639602,1.3724538986101862,1.3881383839965589,1.3883474433983474,1.3881383839965589,1.3883474433983474
628.pop2_s-17B,0.7881578194709484,0.7881085893727169,0.7881432378482565,0.788093902298599,0.7872587734071669,0.787250275042725,0.7872344934878706,0.7872710572797701
631.deepsjeng_s-928B,0.7593339838378335,0.7593339838378335,0.7597779229089295,0.7597779229089295,0.7618311582097823,0.7618311582097823,0.7622039375943668,0.7622039375943668
638.imagick_s-10316B,1.2387175548279719,1.2387175548279719,1.2387175548279719,1.2387175548279719,1.1160526026006556,1.1160526026006556,1.1160526026006556,1.1160526026006556
641.leela_s-1052B,0.7199753168396948,0.7199753168396948,0.7206729132243023,0.7206729132243023,0.7182297498577087,0.7182297498577087,0.7187214813481397,0.7187214813481397
644.nab_s-12459B,1.3012294982190489,1.3012294982190489,1.3012294982190489,1.3012294982190489,1.2565134100742337,1.2565134100742337,1.2565134100742337,1.2565134100742337
648.exchange2_s-1227B,2.0336191309653397,2.0336191309653397,2.0337104665910517,2.0337104665910517,2.0450893213327004,2.0450893213327004,2.045370889360948,2.045370889360948
649.fotonik3d_s-10881B,0.6102061985882176,0.609946879488131,0.6102061985882176,0.609946879488131,0.5394587797084246,0.5393045763165638,0.5394587797084246,0.5393045763165638
654.roms_s-1007B,1.1549285169774277,1.1549285169774277,1.1549285169774277,1.1549285169774277,1.1464446148388427,1.1464446148388427,1.1464446148388427,1.1464446148388427
657.xz_s-2302B,0.3211284566726451,0.32113076706156457,0.32118689902736214,0.3211891873426041,0.3215778041756163,0.3215745626474653,0.32159754686005404,0.3215976243999752
