policy,benchmark,median_loss,mean_loss,std_loss,min_loss,max_loss,q25_loss,q75_loss,iqr_loss,num_steps
berti/barca/mockingjay,459.GemsFDTD-1169B,0.8973178131189775,1.6758402745037504,2.6120691607800963,0.0,13.996418559946603,0.2129311201738712,1.7148602864717275,1.5019291662978562,100
berti/barca/mockingjay,462.libquantum-1343B,9.019877529536194,9.020396341445412,1.1473034624450245,5.688286233167961,12.106714533826164,8.366461371208104,9.837591204828557,1.471129833620454,100
berti/barca/mockingjay,464.h264ref-30B,0.1403784241988285,0.9043774055389909,1.6021747540227427,0.0,8.08857945758163,0.0,1.0463787818235408,1.0463787818235408,100
berti/barca/mockingjay,465.tonto-1914B,0.33903956344004016,0.8023647731348805,1.23800452698809,0.0,7.583062909172364,0.0,1.0675647636641927,1.0675647636641927,100
berti/barca/mockingjay,470.lbm-1274B,12.324633330580482,12.286075175571465,1.4620422382280356,8.499401541693963,15.734593102006093,11.140786088956665,13.312189069335144,2.1714029803784793,100
berti/barca/mockingjay,471.omnetpp-188B,0.35137209819077636,0.6780646301689007,0.8124180121291996,0.0,3.2322347930375668,0.03854008979654015,1.2160107366906365,1.1774706468940963,100
berti/barca/mockingjay,473.astar-153B,0.0,0.0013009219818672342,0.008419479683376176,0.0,0.0636630992608813,0.0,0.0,0.0,100
berti/barca/mockingjay,481.wrf-1170B,0.019480432863857346,0.19890078334582528,0.3505657482406745,0.0,1.7337767879899557,0.0,0.2530533216542068,0.2530533216542068,100
berti/barca/mockingjay,482.sphinx3-1100B,0.0,0.7467546401946317,1.2047989545344124,0.0,5.251935882798396,0.0,1.2849126938552198,1.2849126938552198,100
berti/barca/mockingjay,483.xalancbmk-127B,4.314748378147694,4.065376676757506,1.0602532638867264,0.0,5.6184311268880105,3.7568731052287303,4.7263701907294475,0.9694970855007172,100
berti/barca/mockingjay,600.perlbench_s-1273B,0.0,0.06721087520967997,0.15102650926662559,0.0,1.1031871932016586,0.0,0.04979791103718933,0.04979791103718933,100
berti/barca/mockingjay,602.gcc_s-1850B,7.295164841127153,7.191671180137036,1.8242823985515153,0.28137991870338314,12.078652286376306,6.136353354392932,8.398766417370148,2.262413062977216,100
berti/barca/mockingjay,603.bwaves_s-1080B,1.0639400483296035,1.2103400323498965,0.9156583049242957,0.0,4.19112649231292,0.6217895366329561,1.7020133627292353,1.080223826096279,100
berti/barca/mockingjay,605.mcf_s-1152B,0.023158603494961003,0.10024762494221343,0.1676402979645931,0.0,1.033304354259924,0.0,0.13925972098212686,0.13925972098212686,100
berti/barca/mockingjay,607.cactuBSSN_s-2421B,0.9545344702593095,1.2164223397408442,1.3455088845504586,0.0,7.649672550773509,0.06174104662824384,1.5673938668408545,1.5056528202126107,100
berti/barca/mockingjay,619.lbm_s-2676B,12.235940959721537,12.26160383038476,1.9381762143260681,6.552114727239637,16.362769954204463,11.100729653307344,13.584678464937321,2.4839488116299773,100
berti/barca/mockingjay,620.omnetpp_s-141B,0.13701578075475612,0.15491597115685368,0.14678633375365996,0.0,0.7095528773412698,0.02468866549300796,0.25838903407719543,0.23370036858418747,100
berti/barca/mockingjay,621.wrf_s-575B,0.0018220175450853768,0.05415971902632275,0.12421363742245205,0.0,0.7035667219317221,0.0004365693796114367,0.05868534687999963,0.05824877750038819,100
berti/barca/mockingjay,623.xalancbmk_s-10B,0.09800478512975212,0.7815460175652649,1.0639166864687943,0.0,4.196633097992001,0.0,1.749055092394446,1.749055092394446,100
berti/barca/mockingjay,625.x264_s-12B,0.0,0.107110520126975,0.35883558053039305,0.0,2.408619230968446,0.0,0.002628341043510617,0.002628341043510617,100
berti/barca/mockingjay,627.cam4_s-490B,1.419330675777804,2.140419943216243,2.4119776915969653,0.0,10.20322665109066,0.1389231359242868,3.142100987737192,3.0031778518129055,100
berti/barca/mockingjay,628.pop2_s-17B,0.5552326032508874,0.9393170329439462,1.0776102289828098,0.0,6.0617781952809855,0.0,1.55468135657613,1.55468135657613,100
