trace,source_trace,policy,l1d_coverage,l1d_accuracy,total_ipc,is_best_fixed_policy
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.009797202052,0.011837768522,2.086941777043,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.010022953902,0.012007590679,2.085583912891,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.009813957932,0.011873539077,2.087847206346,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.014077645332,0.208743784595,2.099084662692,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.014047289660,0.207223743156,2.105640388874,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.014084804015,0.208632644138,2.099994928513,0
435.gromacs-111B_combo,435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.014187539694,0.209810284573,2.107495094806,1
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.047946833778,0.048509314213,1.582292534373,0
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.047354811361,0.048893859052,1.584414716074,0
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.047946833778,0.048509314213,1.582292534373,0
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.047354811361,0.048893859052,1.584414716074,0
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.080794004987,0.419984268054,1.595904176178,0
436.cactusADM-1804B_combo,436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.077232433594,0.408682882926,1.598197137917,0
