trace,checkpoint_best_policy,native_best_policy,same_best_policy,checkpoint_best_l1d_coverage,native_best_l1d_coverage,delta_best_l1d_coverage,checkpoint_best_l1d_accuracy,native_best_l1d_accuracy,delta_best_l1d_accuracy
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1,0.055401419969,0.082642690233,0.027241270264,0.036996576213,0.045374032789,0.008377456576
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.139253179843,0.060455420141,-0.078797759702,0.589817213748,0.483884768967,-0.105932444781
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.020977241782,0.029159397077,0.008182155295,0.346019395265,0.052505536386,-0.293513858879
447.dealII-3B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.523827889968,0.415989800744,-0.107838089224,0.666586449710,0.688938836671,0.022352386961
450.soplex-247B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.088122237295,0.079459235160,-0.008663002135,0.059020580826,0.055944195204,-0.003076385622
453.povray-252B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.042061735739,0.000000000000,-0.042061735739,0.149086798010,0.000000000000,-0.149086798010
454.calculix-104B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.003299585581,0.031635388740,0.028335803159,0.004627526357,0.013053097345,0.008425570988
456.hmmer-191B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1,0.023656590851,0.016691629511,-0.006964961340,0.014517099695,0.013507069724,-0.001010029971
458.sjeng-1088B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,1,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
459.GemsFDTD-1169B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.178736764464,0.207610937787,0.028874173323,0.706808450729,0.668530932953,-0.038277517776
462.libquantum-1343B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.516415182907,0.557837876393,0.041422693486,0.737233775095,0.720919552339,-0.016314222756
464.h264ref-30B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0,0.031497177263,0.049428019124,0.017930841861,0.318568481579,0.057492627271,-0.261075854308
465.tonto-1914B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.041493475612,0.123214679731,0.081721204119,0.020222550460,0.569760227226,0.549537676766
470.lbm-1274B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.000297472486,0.016993372575,0.016695900089,0.476488095238,0.969466936572,0.492978841334
471.omnetpp-188B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.029201732491,0.002106796734,-0.027094935757,0.238847320515,0.051173143753,-0.187674176762
473.astar-153B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,1,0.039371462861,0.048112786394,0.008741323533,0.023942939766,0.022507258776,-0.001435680990
481.wrf-1170B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.003861627885,0.192668954662,0.188807326777,0.007935364358,0.167711141060,0.159775776702
482.sphinx3-1100B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.173101265801,0.154660924383,-0.018440341418,0.057827577908,0.055461921549,-0.002365656359
483.xalancbmk-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.046266035842,0.062073501746,0.015807465904,0.373140327380,0.383305469822,0.010165142442
600.perlbench_s-1273B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.003887948259,0.037563451777,0.033675503518,0.003240793810,0.072691552063,0.069450758253
602.gcc_s-1850B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.484117035504,0.467501726996,-0.016615308508,0.727675855276,0.714448393287,-0.013227461989
603.bwaves_s-1080B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.030137509284,0.012933415384,-0.017204093900,0.560557736450,0.734056502563,0.173498766113
605.mcf_s-1152B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.113420624474,0.141555197640,0.028134573166,0.066513227427,0.716566844005,0.650053616578
607.cactuBSSN_s-2421B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.000000000000,0.095013062039,0.095013062039,0.000000000000,0.450318348447,0.450318348447
619.lbm_s-2676B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.000774982322,0.009967872499,0.009192890177,0.442939636738,0.586379928315,0.143440291577
620.omnetpp_s-141B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.012804536020,0.000091323979,-0.012713212041,0.143315568660,0.060048038431,-0.083267530229
621.wrf_s-575B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.000000000000,0.067010309278,0.067010309278,0.000000000000,0.330788804071,0.330788804071
623.xalancbmk_s-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.032637344495,0.007991976062,-0.024645368433,0.242298242849,0.070104001175,-0.172194241674
625.x264_s-12B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.015309005601,0.030779252111,0.015470246510,0.008451124421,0.009076318478,0.000625194057
627.cam4_s-490B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,1,0.241430995829,0.200695272855,-0.040735722974,0.650149024943,0.704541954221,0.054392929278
628.pop2_s-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.097117746100,0.131005586103,0.033887840003,0.083105363183,0.080066055258,-0.003039307925
631.deepsjeng_s-928B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.009187467682,0.000000000000,-0.009187467682,0.236758914675,0.000000000000,-0.236758914675
638.imagick_s-10316B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,1,0.142415252142,0.387815588032,0.245400335890,0.042351951444,0.056636914583,0.014284963139
641.leela_s-1052B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0,0.020497686086,0.122964618866,0.102466932780,0.015102654406,0.544848670131,0.529746015725
644.nab_s-12459B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.026232804836,0.073258848597,0.047026043761,0.021302311146,0.640448457881,0.619146146735
648.exchange2_s-1227B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0,0.067795673861,0.000000000000,-0.067795673861,0.709155397061,0.000000000000,-0.709155397061
649.fotonik3d_s-10881B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.033840242819,0.315919225122,0.282078982303,0.026807943919,0.637786201152,0.610978257233
654.roms_s-1007B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0,0.062860599740,0.093632236330,0.030771636590,0.014811530448,0.008416991286,-0.006394539162
657.xz_s-2302B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0,0.010007327456,0.006495541438,-0.003511786018,0.279594110086,0.010034391052,-0.269559719034
