trace,policy,avg_l1d_coverage,avg_l1d_accuracy,total_ipc,is_best_fixed_policy
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.005421297648,0.018158035038,64.386658096955,no
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.005421293442,0.018158035038,64.386638628856,no
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.012208632707,0.300392712244,63.641666448851,no
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.012208632707,0.300392712244,63.641638422988,no
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.012210471900,0.300326947214,63.643629951777,no
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.012210471900,0.300326947214,63.643585249449,no
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.006632875376,0.003518568593,122.953826083615,no
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.006637557496,0.003516839900,122.945727065436,no
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.006632875376,0.003518568593,122.953826083615,yes
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.006637557496,0.003516839900,122.945727065436,no
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.045540897690,0.326647383644,122.285436915001,no
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.045597051738,0.326524112852,122.300565398451,no
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.045540897690,0.326647383644,122.285436915001,no
436.cactusADM-1804B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.045597051738,0.326524112852,122.300565398451,no
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.055397923672,0.036996537024,116.207795951299,no
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.055401419969,0.036996576213,116.214915446474,no
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.055397923672,0.036996537024,116.207795951299,no
437.leslie3d-134B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.055401419969,0.036996576213,116.214915446474,yes
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.143125078195,0.501068990695,115.926483995665,no
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.143164848190,0.501078813818,115.949465182066,no
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.143125078195,0.501068990695,115.926483995665,no
437.leslie3d-134B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.143164848190,0.501078813818,115.949465182066,no
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.043945950541,0.023614930803,167.004543390599,no
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.043945950541,0.023614930803,167.004543390599,no
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.043945950541,0.023614930803,167.004543390599,no
444.namd-120B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.043945950541,0.023614930803,167.004543390599,no
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.139253179843,0.589817213748,168.802830476447,no
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.139253179843,0.589817213748,168.802830476447,no
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.139253179843,0.589817213748,168.802830476447,no
444.namd-120B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.139253179843,0.589817213748,168.802830476447,yes
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.002028857504,0.005859435915,62.390974022810,no
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.002032704271,0.005860654161,62.390046139581,no
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.002022417227,0.005805855736,62.448465545742,no
445.gobmk-17B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.002069160814,0.005858385304,62.445503069662,no
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.020841502429,0.344819446922,62.577484807789,no
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.020841993696,0.344819446922,62.578159219135,no
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.020977098140,0.346019395265,62.579764019278,no
445.gobmk-17B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.020977241782,0.346019395265,62.579808170640,yes
447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.046979690067,0.007601817315,124.736626037084,no
447.dealII-3B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.046979690067,0.007601817315,124.736626037084,no
