trace,policy,checkpoint_l1d_coverage,native_l1d_coverage,delta_l1d_coverage,abs_delta_l1d_coverage,checkpoint_l1d_accuracy,native_l1d_accuracy,delta_l1d_accuracy,abs_delta_l1d_accuracy,checkpoint_is_best_policy,native_is_best_policy
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.009000856744,0.030868921884,0.021868065140,0.021868065140,0.054910456744,0.056368210193,0.001457753449,0.001457753449,0,0
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.009006080022,0.030912609493,0.021906529471,0.021906529471,0.054659020994,0.056211510858,0.001552489864,0.001552489864,0,1
416.gamess-875B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.009006080022,0.030940436477,0.021934356455,0.021934356455,0.054659020994,0.056244792149,0.001585771155,0.001585771155,0,0
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.000000000000,0.000002324000,0.000002324000,0.000002324000,0.000000000000,0.013636363636,0.013636363636,0.013636363636,0,0
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,0
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.000000000000,0.000002324000,0.000002324000,0.000002324000,0.000000000000,0.013636363636,0.013636363636,0.013636363636,1,0
429.mcf-184B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0,1
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.001178759720,0.001618607997,0.000439848277,0.000439848277,0.084869347982,0.071792397792,-0.013076950190,0.013076950190,0,0
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.001179047933,0.001595399745,0.000416351812,0.000416351812,0.085388327141,0.070429297158,-0.014959029983,0.014959029983,0,0
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.001178759720,0.001618607997,0.000439848277,0.000439848277,0.084869347982,0.071792397792,-0.013076950190,0.013076950190,0,0
429.mcf-184B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.001179047933,0.001595399745,0.000416351812,0.000416351812,0.085388327141,0.070429297158,-0.014959029983,0.014959029983,0,0
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.042886366215,0.046704655356,0.003818289141,0.003818289141,0.057457562531,0.054008528909,-0.003449033622,0.003449033622,0,0
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.043136750419,0.046305154831,0.003168404412,0.003168404412,0.058040375182,0.053412062323,-0.004628312859,0.004628312859,0,0
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.042886366215,0.046704655356,0.003818289141,0.003818289141,0.057457562531,0.054008528909,-0.003449033622,0.003449033622,0,0
433.milc-127B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.043136750419,0.046305154831,0.003168404412,0.003168404412,0.058040375182,0.053412062323,-0.004628312859,0.004628312859,0,0
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.113870624728,0.120564465287,0.006693840559,0.006693840559,0.708575407290,0.739215549360,0.030640142070,0.030640142070,0,0
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.113864120606,0.120664460482,0.006800339876,0.006800339876,0.708594203098,0.739178136844,0.030583933746,0.030583933746,0,0
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.113870624728,0.120564465287,0.006693840559,0.006693840559,0.708575407290,0.739215549360,0.030640142070,0.030640142070,1,0
433.milc-127B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.113864120606,0.120664460482,0.006800339876,0.006800339876,0.708594203098,0.739178136844,0.030583933746,0.030583933746,0,1
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.043597721252,0.045248684101,0.001650962849,0.001650962849,0.019658068856,0.018416032912,-0.001242035944,0.001242035944,0,0
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.043602265770,0.044547270190,0.000945004420,0.000945004420,0.019658207218,0.018523328959,-0.001134878259,0.001134878259,0,0
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.043597721252,0.045248684101,0.001650962849,0.001650962849,0.019658068856,0.018416032912,-0.001242035944,0.001242035944,1,0
434.zeusmp-10B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.043602265770,0.044547270190,0.000945004420,0.000945004420,0.019658207218,0.018523328959,-0.001134878259,0.001134878259,0,1
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.055771095163,0.039126430660,-0.016644664503,0.016644664503,0.527788852263,0.574424760741,0.046635908478,0.046635908478,0,0
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.055770079996,0.039211439678,-0.016558640318,0.016558640318,0.527745098971,0.575070244737,0.047325145766,0.047325145766,0,0
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.055771095163,0.039126430660,-0.016644664503,0.016644664503,0.527788852263,0.574424760741,0.046635908478,0.046635908478,0,0
434.zeusmp-10B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.055770079996,0.039211439678,-0.016558640318,0.016558640318,0.527745098971,0.575070244737,0.047325145766,0.047325145766,0,0
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.005426204205,0.010113992789,0.004687788584,0.004687788584,0.018170815644,0.012157439820,-0.006013375824,0.006013375824,0,0
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.005427321093,0.009797202052,0.004369880959,0.004369880959,0.018171361645,0.011837768522,-0.006333593123,0.006333593123,1,0
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.005421297648,0.010022953902,0.004601656254,0.004601656254,0.018158035038,0.012007590679,-0.006150444359,0.006150444359,0,0
435.gromacs-111B,l1d_prefetcher-berti_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.005421293442,0.009813957932,0.004392664490,0.004392664490,0.018158035038,0.011873539077,-0.006284495961,0.006284495961,0,0
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.012208632707,0.014077645332,0.001869012625,0.001869012625,0.300392712244,0.208743784595,-0.091648927649,0.091648927649,0,0
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.012208632707,0.014047289660,0.001838656953,0.001838656953,0.300392712244,0.207223743156,-0.093168969088,0.093168969088,0,0
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-PACIPV,0.012210471900,0.014084804015,0.001874332115,0.001874332115,0.300326947214,0.208632644138,-0.091694303076,0.091694303076,0,0
435.gromacs-111B,l1d_prefetcher-gaze_l1i_prefetcher-entangling_l2c_replacement-mockingjay,0.012210471900,0.014187539694,0.001977067794,0.001977067794,0.300326947214,0.209810284573,-0.090516662641,0.090516662641,0,1
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-PACIPV,0.006632875376,0.047946833778,0.041313958402,0.041313958402,0.003518568593,0.048509314213,0.044990745620,0.044990745620,0,0
436.cactusADM-1804B,l1d_prefetcher-berti_l1i_prefetcher-barca_l2c_replacement-mockingjay,0.006637557496,0.047354811361,0.040717253865,0.040717253865,0.003516839900,0.048893859052,0.045377019152,0.045377019152,0,0
